samplers,SlaughterDate,Timepoint,Diet,Diet_Tank,ID,BW,Length,Sex,cataract_V,cataract_H,cataract_sum,Fat_Score,Heart_Score,softliver,patchy_liver,Liver_Score,Heart_W,Liver_W,GW,SlaughYield,CF,HSI,CSI,L,a,b,Gut_Abstruc,Gut_light,Anus_ble,Gut_ble,Sca_lossScor,Bleeding,Parr_mark,Tail_sli,UJ_dform,LJ_dform,O_dform,Ryggf_d,BugF_sli,BugF_bleed,Deform
sample236,30/10/20,T2,MC2,MC2-3,6,114.4,21.4,F,0,0,0,3,0.5,0,0,3,0.142,0.84,106.4,93.00699301,1.17,0.73,0.12,,,,1,1,,,0.5,0,0,0,0,0,0,0,1,0,0
sample237,30/10/20,T2,MC2,MC2-3,7,107.5,20.6,M,0,0,0,1,0,0,0,3,0.175,0.96,96.3,89.58139535,1.23,0.89,0.16,,,,1,1,,0,1,0,0,1,0,0,0,2.5,1.5,0,0
sample238,30/10/20,T2,MC2,MC2-3,8,92.63,20.5,F,0,0,0,1,0,0,0,3.5,0.151,0.74,83,89.60380006,1.08,0.8,0.16,,,,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0
sample239,30/10/20,T2,MC2,MC2-3,9,111.5,20.8,M,0,0,0,3,0,0,0,2.5,0.195,0.75,99.3,89.05829596,1.24,0.67,0.17,,,,1,1,1,0,0.5,0,0,0.5,0,0,0,2,1,0,0
sample240,30/10/20,T2,MC2,MC2-3,10,94.2,20,F,0,0,0,3,0,0,0,3.5,0.256,0.65,84.3,89.49044586,1.18,0.69,0.27,,,,1,1,1,1,1,0,0,1,0,0,0,2,1,0,0
sample241,30/10/20,T2,CTR,CTR-3,1,171.1,24.8,M,0,0,0,3,0,0,0,3,0.183,1.44,153.8,89.88895383,1.12,0.84,0.11,,,,0,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0
sample242,30/10/20,T2,CTR,CTR-3,2,137.2,22.3,M,0,0,0,2,0,0,0,3,0.188,1.42,123.4,89.94169096,1.24,1.03,0.14,,,,0,1,0,0,1,0,0,1,0,0,0,0.5,0.5,0,0
sample243,30/10/20,T2,CTR,CTR-3,3,117.2,22.2,F,0,0,0,2.5,0,0,0,3.5,,0.91,104.9,89.50511945,1.07,0.78,,,,,0,1,1,0,2,0,0,0.5,0,0,0.5,0,1.5,0,0
sample244,30/10/20,T2,CTR,CTR-3,4,112.5,20.4,M,0,0,0,2.5,0,1,0,2.5,0.192,1.15,99.5,88.44444444,1.33,1.02,0.17,,,,1,1,1,0,1.5,0,0,0,0,0,0,0,2,0,1
sample245,30/10/20,T2,CTR,CTR-3,5,153,24.2,F,0,0,0,3,0,0,0,3.5,0.263,1.32,139.2,90.98039216,1.08,0.86,0.17,,,,1,1,0,0,2,0,0,2,0,0,0,1,0,0,0
sample246,30/10/20,T2,CTR,CTR-3,6,127.1,22,M,0,0,0,2,0,0,0,3,0.185,0.97,115.2,90.63729347,1.19,0.76,0.15,,,,1,1,1,0,1,0,0,1,0,0,0,2,2,0,0
sample247,30/10/20,T2,CTR,CTR-3,7,151.8,24,F,0,0,0,2,0,0,0,3,0.246,1.33,138.2,91.04084321,1.1,0.88,0.16,,,,0,1,1,0,2,0,0,0,0,0,0,0.5,1,0,0
sample248,30/10/20,T2,CTR,CTR-3,8,113.8,21.9,F,0,0,0,2,0,0,0,2.5,0.166,1.4,102.6,90.15817223,1.08,1.23,0.15,,,,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0
sample249,30/10/20,T2,CTR,CTR-3,9,123.3,22,F,0,0,0,3,0,1,0,2.5,0.165,0.87,110.7,89.7810219,1.16,0.71,0.13,,,,0,1,,0,1,0,0,0,0,0,0,0,2,0,1
sample250,30/10/20,T2,CTR,CTR-3,10,91.8,20.4,F,0,0,0,2.5,0,0,0,3,0.125,0.77,80.5,87.69063181,1.08,0.84,0.14,,,,1,1,,0,1,0,0,0,0,0,0,0.5,0.5,0,0
sample251,30/10/20,T2,MN3,MN3-3,1,192.9,25.3,M,0,0,0,2,0,0,0,3,0.228,1.54,174.4,90.40953862,1.19,0.8,0.12,,,,0,1,0,0,1.5,0,0,0,0,0,0,0,1,0,0
sample252,30/10/20,T2,MN3,MN3-3,2,139.9,22.8,M,0,0,0,3,0,0,0,3,0.216,1.36,125.6,89.77841315,1.18,0.97,0.15,,,,0,1,,1,1,0,0,0.5,0,0,0,0,0,0,0
sample253,30/10/20,T2,MN3,MN3-3,3,125.2,21.2,,0,0,0,2,0.5,1,0,3,0.165,0.89,114,91.0543131,1.31,0.71,0.13,,,,0,1,1,0,2,0,0,0,0,0,0.5,0,0,0,0
sample254,30/10/20,T2,MN3,MN3-3,4,107,22,F,0,0,0,2,0.5,1,0,3,0.18,0.72,96.4,90.09345794,1,0.67,0.17,,,,1,1,1,1,1,0,0,1,0,0,0,0.5,2,0,0
sample255,30/10/20,T2,MN3,MN3-3,5,123.6,22.2,M,0,0,0,3,0.5,1,0,3,0.142,0.78,111.7,90.37216828,1.13,0.63,0.11,,,,0,1,0,0,1.5,0,0,1,0,0,0,2,2,0,0
sample256,30/10/20,T2,MN3,MN3-3,6,130.5,22.2,F,0,0,0,1.5,0,1,0,3,0.203,0.95,118.2,90.57471264,1.19,0.73,0.16,,,,1,1,1,0,1,0,0,0,0,0,0,0.5,0.5,0,0
